Date,TicketsSold
18/07/2018,1587
17/07/2018,1576
16/07/2018,1665
15/07/2018,1639
14/07/2018,1391
13/07/2018,1428
12/07/2018,1479
11/07/2018,1492
10/07/2018,1676
09/07/2018,1660
08/07/2018,1449
07/07/2018,1260
06/07/2018,1663
05/07/2018,1820
04/07/2018,1408
03/07/2018,1328
02/07/2018,1577
01/07/2018,1546
30/06/2018,1244
29/06/2018,1553
28/06/2018,1414
27/06/2018,1677
26/06/2018,1599
25/06/2018,1853
24/06/2018,1700
23/06/2018,1340
22/06/2018,1566
21/06/2018,1465
20/06/2018,1544
19/06/2018,1584
18/06/2018,1563
17/06/2018,1849
16/06/2018,1514
15/06/2018,1600
14/06/2018,1631
13/06/2018,1764
12/06/2018,2355
11/06/2018,1911
10/06/2018,1734
09/06/2018,1682
08/06/2018,2430
07/06/2018,1781
06/06/2018,2232
05/06/2018,1895
04/06/2018,1964
03/06/2018,1713
02/06/2018,1618
01/06/2018,1865
31/05/2018,2070
30/05/2018,2099
29/05/2018,1950
28/05/2018,1601
27/05/2018,1571
26/05/2018,1635
25/05/2018,1838
24/05/2018,2015
23/05/2018,1819
22/05/2018,1681
21/05/2018,1842
20/05/2018,1789
19/05/2018,1283
18/05/2018,1920
17/05/2018,1841
16/05/2018,2118
15/05/2018,1816
14/05/2018,1938
13/05/2018,1932
12/05/2018,1976
11/05/2018,1916
10/05/2018,1956
09/05/2018,1811
08/05/2018,1704
07/05/2018,1727
06/05/2018,1631
05/05/2018,1806
04/05/2018,2291
03/05/2018,1869
02/05/2018,2400
01/05/2018,2676
30/04/2018,2416
29/04/2018,2129
28/04/2018,2000
27/04/2018,1981
26/04/2018,1546
25/04/2018,1759
24/04/2018,1632
23/04/2018,1692
22/04/2018,1521
21/04/2018,1247
20/04/2018,1247
19/04/2018,1235
18/04/2018,1260
17/04/2018,1344
16/04/2018,1226
15/04/2018,1951
14/04/2018,1694
13/04/2018,1823
12/04/2018,2042
11/04/2018,1621
10/04/2018,1606
09/04/2018,2351
08/04/2018,2054
07/04/2018,1607
06/04/2018,1742
05/04/2018,1567
04/04/2018,2062
03/04/2018,1683
02/04/2018,2245
01/04/2018,1964
31/03/2018,2064
30/03/2018,2615
29/03/2018,2378
28/03/2018,2303
27/03/2018,1957
26/03/2018,2964
25/03/2018,2511
24/03/2018,2266
23/03/2018,2434
22/03/2018,2404
21/03/2018,2238
20/03/2018,2072
19/03/2018,3960
18/03/2018,2504
17/03/2018,1788
16/03/2018,1844
15/03/2018,1619
14/03/2018,1561
13/03/2018,1589
12/03/2018,2087
11/03/2018,2617
10/03/2018,1817
09/03/2018,1834
08/03/2018,1815
07/03/2018,2148
06/03/2018,2267
05/03/2018,2399
04/03/2018,2900
03/03/2018,2556
02/03/2018,2151
01/03/2018,1700
28/02/2018,1850
27/02/2018,1869
26/02/2018,2012
25/02/2018,2254
24/02/2018,2029
23/02/2018,1929
22/02/2018,2127
21/02/2018,1848
20/02/2018,1948
19/02/2018,2372
18/02/2018,2575
17/02/2018,1764
16/02/2018,1955
15/02/2018,1955
14/02/2018,1898
13/02/2018,2177
12/02/2018,2517
11/02/2018,2753
10/02/2018,2127
09/02/2018,2379
08/02/2018,2390
07/02/2018,2282
06/02/2018,2354
05/02/2018,2269
04/02/2018,2472
03/02/2018,2137
02/02/2018,2094
01/02/2018,2424
31/01/2018,2638
30/01/2018,2339
29/01/2018,2584
28/01/2018,2867
27/01/2018,2358
26/01/2018,2258
25/01/2018,2221
24/01/2018,2084
23/01/2018,2166
22/01/2018,2666
21/01/2018,2673
20/01/2018,1803
19/01/2018,1855
18/01/2018,2026
17/01/2018,2101
16/01/2018,2221
15/01/2018,2674
14/01/2018,2756
13/01/2018,2370
12/01/2018,2403
11/01/2018,2239
10/01/2018,2345
09/01/2018,2329
