Title,Theme,Segment,Email Feature Type ,Subject,List,Send Date & Time,Send Date,Send Time,Send Time (Hour),Send Weekday,Total Recipients,Successful Deliveries,Soft Bounces,Hard Bounces,Total Bounces,Times Forwarded,Forwarded Opens,Unique Opens,Open Rate,Total Opens,Unique Clicks,Click Rate,Total Clicks,Unsubscribes,Abuse Complaints,Bounce Rate,Unsubscribe Rate
"Billy, Hand to God, Peter Pan Goes Wrong, Le Corsaire, Maids, Lorax, Motown, Nell",Full-price,All,Multi-show,New For 2016!Ã‚Â  Ã¢Å“Â¨ Plus Billy Elliot Closing Offer - Book Today!,(Do not use) FromTheBoxOffice Subscribers,Jan 07 2016 05:45 pm,"Jan 07, 2016 ",17:45:00,6:00:00 PM,Thursday,71873,71818,37,18,55,0,0,13319,18.55%,20433,1181,1.64%,3651,156,11,30.47%,13.20914479
"Motown, Beautiful, Lion King, Romeo, Close To You, Ruby Wax",Full-price,Musicals,Multi-show,Ã¢ÂùÂ_Ã‚Â Valentine Special Ã¢ÂùÂ_Ã‚Â Stop In The Name Of LoveÃ‚Â Ã°Å¸Å_ÂµÃ‚Â Book For Your Loved Ones Today!Ã‚Â ,(Do not use) FromTheBoxOffice Subscribers,Jan 14 2016 10:00 am,"Jan 14, 2016 ",10:00:00,10:00:00 AM,Thursday,71689,71626,41,22,63,0,0,11630,16.24%,17629,1059,1.48%,3446,121,15,33.82%,11.42587347
"Amaluna - Cirque du Soleil, Lady Day",New On-Sale,Circus/Cabaret/Burlesque,Multi-show,Cirque du Soleil's Amaluna Is Finally Here! Plus New Billie Holiday Show!,(Do not use) FromTheBoxOffice Subscribers,Jan 17 2016 10:00 am,"Jan 17, 2016 ",10:00:00,10:00:00 AM,Sunday,71541,71492,36,13,49,0,0,12340,17.26%,18284,1111,1.55%,1721,133,18,37.88%,11.97119712
Hangmen Last Chance,Closing Soon,Musicals,Solus,Last chance to see Martin McDonaghÃ¢â‚¬â„¢s Hangmen Ã¢â‚¬â€œ Season ends in 5 weeks!,(Do not use) FromTheBoxOffice Subscribers,Jan 25 2016 06:29 pm,"Jan 25, 2016 ",18:29:00,6:00:00 PM,Monday,71363,71312,41,10,51,0,0,13389,18.78%,18842,317,0.44%,1152,117,10,36.45%,36.90851735
War of The Worlds & Faustus,Cast Announcement,Musicals,Multi-show,See Kit Harington as Doctor Faustus + It's a Martian Invasion! - Says Jeff Wayne,(Do not use) FromTheBoxOffice Subscribers,Jan 29 2016 12:58 pm,"Jan 29, 2016 ",12:58:00,1:00:00 PM,Friday,81788,81647,72,69,141,0,0,14272,17.48%,20765,750,0.92%,2052,201,15,37.74%,26.8
"Sunset, Kinky, Magic FLute, Norma, Full Tilt, Beyond The Fence, Libertine, Escape Alone",Offer,Musicals,Multi-show,Theatre Tickets Sale is On! Ã°Å¸ËœÆ’Book Kinky Boots| Glenn Close | Magic Flute & More!,(Do not use) FromTheBoxOffice Subscribers,Feb 03 2016 06:51 pm,"Feb 03, 2016 ",18:51:00,7:00:00 PM,Wednesday,81513,81408,85,20,105,0,0,16785,20.62%,25518,1151,1.41%,3449,139,15,32.97%,12.07645526
Warhorsefinalweeks,Closing Soon,Musicals,Solus,"Final 5 weeks of WAR HORSE Ã‚Â in LondonÃ‚Â Ã°Å¸ÂêÅ_Ã‚Â Ã‚Â - Only a few tickets left, Book Now!",(Do not use) FromTheBoxOffice Subscribers,Feb 04 2016 05:51 pm,"Feb 04, 2016 ",17:51:00,6:00:00 PM,Thursday,134,134,0,0,0,0,0,25,18.66%,41,2,1.49%,2,0,0,0.00%,0
Warhorsefinalweeks (copy 01),Closing Soon,Musicals,Solus,"Final 5 weeks of WAR HORSE Ã‚Â in LondonÃ‚Â Ã°Å¸ÂêÅ_Ã‚Â Ã‚Â - Only a few tickets left, Book Now!",(Do not use) FromTheBoxOffice Subscribers,Feb 04 2016 05:52 pm,"Feb 04, 2016 ",17:52:00,6:00:00 PM,Thursday,11145,11141,2,2,4,0,0,6562,58.90%,8844,236,2.12%,696,17,1,42.62%,7.203389831
Hand to God Flash,Offer,Musicals,Solus,Time for some comedy - Book the hilarious Hand To God today & Save up to 40%!,(Do not use) FromTheBoxOffice Subscribers,Feb 05 2016 11:41 am,"Feb 05, 2016 ",11:41:00,12:00:00 PM,Friday,81339,81260,74,5,79,0,0,14883,18.32%,20657,221,0.27%,383,148,11,21.40%,66.96832579
The Go-Between on sale,New On-Sale,Musicals,Multi-show,See Michael Crawford on stage again at The Apollo! The Go Between - On Sale Now!,(Do not use) FromTheBoxOffice Subscribers,Feb 05 2016 02:14 pm,"Feb 05, 2016 ",14:14:00,2:00:00 PM,Friday,81231,81076,150,5,155,0,0,15118,18.65%,21437,443,0.55%,1283,161,16,32.51%,36.34311512
