Date,Daily_Items_Sold,Total_Daily_Value,Avg_Item_Value_GBP,Avg_Trans_Value_GBP
2014-01-01,484,"24,160",49.92,118.43
2014-01-02,550,"27,441",49.89,121.42
2014-01-03,517,"26,273",50.82,121.07
2014-01-04,435,"22,017",50.61,124.39
2014-01-05,527,"25,834",49.02,121.28
2014-01-06,472,"22,531",47.73,113.22
2014-01-07,406,"20,125",49.57,117.69
2014-01-08,458,"21,959",47.95,114.37
2014-01-09,361,"17,713",49.07,117.31
2014-01-10,494,"23,394",47.36,118.15
2014-01-11,373,"18,645",49.99,117.26
2014-01-12,568,"29,176",51.37,130.25
2014-01-13,502,"24,512",48.83,120.16
2014-01-14,447,"20,606",46.1,109.6
2014-01-15,402,"19,489",48.48,111.37
2014-01-16,419,"20,019",47.78,115.05
2014-01-17,433,"19,826",45.79,108.34
2014-01-18,370,"18,180",49.14,112.22
2014-01-19,489,"24,746",50.61,123.73
2014-01-20,446,"20,078",45.02,111.55
2014-01-21,450,"19,678",43.73,109.93
2014-01-22,352,"16,326",46.38,104.65
2014-01-23,538,"22,590",41.99,96.13
2014-01-24,459,"20,466",44.59,101.31
2014-01-25,438,"20,557",46.93,112.95
2014-01-26,632,"29,810",47.17,109.2
2014-01-27,528,"24,102",45.65,112.1
2014-01-28,457,"20,428",44.7,103.17
2014-01-29,405,"19,328",47.72,109.2
2014-01-30,371,"16,446",44.33,106.1
2014-01-31,423,"18,384",43.46,101.57
2014-02-01,373,"16,558",44.39,103.49
2014-02-02,511,"24,088",47.14,106.58
2014-02-03,534,"24,782",46.41,113.16
2014-02-04,443,"21,061",47.54,111.43
2014-02-05,449,"22,171",49.38,120.49
2014-02-06,433,"19,704",45.51,102.09
2014-02-07,382,"17,738",46.43,113.7
2014-02-08,417,"20,008",47.98,116.32
2014-02-09,540,"26,988",49.98,126.71
2014-02-10,460,"21,623",47.01,115.02
2014-02-11,386,"18,353",47.55,107.33
2014-02-12,423,"20,186",47.72,105.69
2014-02-13,429,"19,757",46.05,109.76
2014-02-14,367,"17,166",46.77,111.47
2014-02-15,357,"16,227",45.46,110.39
2014-02-16,409,"20,368",49.8,119.81
2014-02-17,484,"21,980",45.41,108.28
2014-02-18,481,"22,802",47.4,107.55
2014-02-19,456,"21,037",46.13,103.63
2014-02-20,414,"17,068",41.23,88.9
2014-02-21,308,"14,181",46.04,113.45
2014-02-22,238,"12,181",51.18,120.6
2014-02-23,401,"18,125",45.2,111.88
2014-02-24,376,"16,721",44.47,109.29
2014-02-25,361,"15,823",43.83,102.09
2014-02-26,302,"12,848",42.54,98.83
2014-02-27,233,"10,569",45.36,100.66
2014-02-28,358,"16,714",46.69,107.14
2014-03-01,304,"13,513",44.45,103.15
2014-03-02,463,"19,869",42.91,100.35
2014-03-03,414,"19,907",48.08,108.19
2014-03-04,370,"18,777",50.75,117.35
2014-03-05,350,"16,080",45.94,103.08
2014-03-06,347,"15,930",45.91,107.64
2014-03-07,334,"15,303",45.82,102.7
2014-03-08,311,"15,168",48.77,118.5
2014-03-09,309,"15,488",50.12,120.06
2014-03-10,309,"15,395",49.82,111.56
2014-03-11,333,"15,087",45.3,110.93
2014-03-12,205,"9,365",45.68,105.22
2014-03-13,182,"8,975",49.31,124.65
2014-03-14,309,"15,822",51.2,125.57
2014-03-15,284,"13,020",45.85,113.22
2014-03-16,263,"11,550",43.92,114.36
2014-03-17,350,"16,738",47.82,110.12
2014-03-18,361,"15,965",44.22,103.67
2014-03-19,465,"21,427",46.08,102.03
2014-03-20,405,"17,293",42.7,99.96
2014-03-21,366,"16,603",45.36,106.43
