DATE,PRCP,TAVG
01/01/2014,6,6.7
02/01/2014,0.2,3.7
03/01/2014,0,6.9
04/01/2014,7.6,7.6
05/01/2014,9.9,5.8
06/01/2014,8.9,11.3
07/01/2014,10.2,10.6
08/01/2014,5.3,9.5
09/01/2014,3.6,8.9
10/01/2014,0,6.4
11/01/2014,1.8,6.7
12/01/2014,0,3.7
13/01/2014,2.3,6.9
14/01/2014,5.1,4.5
15/01/2014,4.6,9.6
16/01/2014,2.8,8.4
17/01/2014,10.9,7.3
18/01/2014,7.1,8.6
19/01/2014,0.8,6.7
20/01/2014,0,4.8
21/01/2014,0.3,4.6
22/01/2014,8.6,7.8
23/01/2014,0.3,5.4
24/01/2014,1.5,5.5
25/01/2014,5.6,8.2
26/01/2014,1.8,5.8
27/01/2014,5.1,4.8
28/01/2014,1.8,6.6
29/01/2014,1.5,4.5
30/01/2014,19.1,4.6
31/01/2014,0.3,5.1
01/02/2014,19.8,7.6
02/02/2014,0,7.5
03/02/2014,0,6.2
04/02/2014,0,6.8
05/02/2014,11.2,8.3
06/02/2014,1.5,7.9
07/02/2014,19.1,7.8
08/02/2014,5.8,7.9
09/02/2014,2.3,6.8
10/02/2014,0,5.4
11/02/2014,1.5,5.4
12/02/2014,2.3,6.2
13/02/2014,8.1,5.7
14/02/2014,0,6.9
15/02/2014,10.2,8.7
16/02/2014,0.5,6.2
17/02/2014,0,7.6
18/02/2014,2.3,8.3
19/02/2014,5.8,7.4
20/02/2014,0,9.8
21/02/2014,1.5,6.7
22/02/2014,0,8.1
23/02/2014,0,10.6
24/02/2014,0,10.2
25/02/2014,3.3,8.7
26/02/2014,2.5,7.2
27/02/2014,1.8,7.6
28/02/2014,3.3,5.2
01/03/2014,6.1,5
02/03/2014,0,6.9
03/03/2014,7.1,6
04/03/2014,1,5.6
05/03/2014,0,6.8
06/03/2014,0.3,8.6
07/03/2014,0,10.9
08/03/2014,0,10.8
09/03/2014,0,12.3
10/03/2014,0,8.7
11/03/2014,0,8.2
12/03/2014,0,8.4
13/03/2014,0.3,9.4
14/03/2014,0,9.6
15/03/2014,0,11.4
16/03/2014,0,12.7
17/03/2014,0,9.8
18/03/2014,0,10.4
19/03/2014,0,10.8
20/03/2014,0,10.2
21/03/2014,2.5,9
22/03/2014,6.1,7.2
23/03/2014,0,6.5
24/03/2014,0,5.9
25/03/2014,2.3,6.9
26/03/2014,4.6,4.7
27/03/2014,2,5.8
28/03/2014,0,8.3
29/03/2014,0,13
30/03/2014,0,13.6
31/03/2014,0,14
01/04/2014,1.5,12.6
02/04/2014,0,14.2
03/04/2014,0,13.7
04/04/2014,0,12.6
05/04/2014,0,11.2
06/04/2014,1.5,13.6
07/04/2014,2.5,12.6
08/04/2014,4.3,9.7
09/04/2014,0,10.8
10/04/2014,0,11.7
11/04/2014,0,12.5
12/04/2014,0,10.4
13/04/2014,0,11.7
14/04/2014,0,11
15/04/2014,0,9.2
16/04/2014,0,10.2
17/04/2014,0,11.7
18/04/2014,0,9.2
19/04/2014,0,8.9
20/04/2014,0,10.1
21/04/2014,8.9,12
22/04/2014,26.9,11.9
23/04/2014,0.3,11.6
24/04/2014,2.3,13.4
25/04/2014,0,10.1
26/04/2014,6.6,11.7
27/04/2014,0.8,11.6
28/04/2014,0.8,12.7
29/04/2014,0,12.7
30/04/2014,0,12.7
01/05/2014,1.5,11.5
02/05/2014,10.2,10
03/05/2014,0,8.9
04/05/2014,0,10.9
05/05/2014,0,12.9
06/05/2014,0,14.5
07/05/2014,0.3,13.3
08/05/2014,1,13.1
09/05/2014,4.3,14
10/05/2014,2.8,13.1
11/05/2014,2.3,11.5
12/05/2014,0.3,12
13/05/2014,6.6,11.6
14/05/2014,8.6,13.6
15/05/2014,0,15.1
16/05/2014,0,16.3
17/05/2014,0,18
18/05/2014,0,18.1
19/05/2014,0,19.7
20/05/2014,0,16.8
21/05/2014,0,14.8
22/05/2014,7.9,14.5
23/05/2014,6.1,13.4
24/05/2014,8.6,12.7
25/05/2014,5.3,13.7
26/05/2014,1.5,11.4
27/05/2014,10.9,12.2
28/05/2014,9.9,12.5
29/05/2014,0,15.3
30/05/2014,0,14.1
31/05/2014,0,14.8
01/06/2014,0,17.1
02/06/2014,0.3,16.4
03/06/2014,0,14.8
04/06/2014,4.3,12.1
05/06/2014,6.4,14.3
06/06/2014,0,16.6
07/06/2014,0,18
08/06/2014,4.3,19
09/06/2014,0,19.8
10/06/2014,1.5,17.8
11/06/2014,0,17.3
12/06/2014,0,19.4
13/06/2014,0,20.8
14/06/2014,5.8,18.3
15/06/2014,2.8,15.7
16/06/2014,0,15.2
17/06/2014,0,16.7
18/06/2014,0,17.8
19/06/2014,0.3,16.6
20/06/2014,0,17.1
21/06/2014,0,19
22/06/2014,0,19.4
23/06/2014,0,19.7
24/06/2014,0,19.1
25/06/2014,0,16.7
26/06/2014,0,16.6
27/06/2014,1.3,17.8
28/06/2014,0,15.1
29/06/2014,13.7,15.3
30/06/2014,0,15.5
01/07/2014,0.5,17.6
02/07/2014,0,18.4
03/07/2014,0,20.6
04/07/2014,0,19.8
05/07/2014,2.8,18
06/07/2014,0.8,16.6
07/07/2014,1.5,16.4
08/07/2014,0,16
09/07/2014,7.6,17.7
10/07/2014,0,17.6
11/07/2014,0,16.8
12/07/2014,0.5,18.7
13/07/2014,1.8,18.2
14/07/2014,0,18.6
15/07/2014,0,21.1
16/07/2014,0,20.8
17/07/2014,0,22.8
18/07/2014,6.6,24.1
19/07/2014,1.3,22.8
20/07/2014,0.5,21.2
21/07/2014,0,21.4
22/07/2014,0,21.4
23/07/2014,0,22
24/07/2014,0,22.8
25/07/2014,0,20.2
26/07/2014,9.9,23.4
27/07/2014,0,21.5
28/07/2014,0,18.3
29/07/2014,16.5,20.9
30/07/2014,0,20
31/07/2014,0,19.7
01/08/2014,0,19.4
02/08/2014,0,19.2
03/08/2014,1.8,18
04/08/2014,0,18.4
05/08/2014,,18.6
06/08/2014,,21.2
07/08/2014,,22.2
08/08/2014,0,19.2
09/08/2014,22.1,18.2
10/08/2014,1,17.6
11/08/2014,9.1,16
12/08/2014,19.3,15.6
13/08/2014,0.5,16.4
14/08/2014,0,15.6
15/08/2014,6.4,15.7
16/08/2014,0.3,16
17/08/2014,0,15.9
18/08/2014,1.3,14.7
19/08/2014,0.5,13.3
20/08/2014,0.3,13.3
21/08/2014,0,13.2
22/08/2014,0,15.4
23/08/2014,0.5,13.3
24/08/2014,0.5,13.4
25/08/2014,0.3,15.4
26/08/2014,20.3,15.4
27/08/2014,2.8,15.8
28/08/2014,0.8,18.1
29/08/2014,0.3,17.2
30/08/2014,0.3,17.1
31/08/2014,0.3,16.4
01/09/2014,0,15.7
02/09/2014,2,17.3
03/09/2014,0,18.1
04/09/2014,0,17.8
05/09/2014,0,18.2
06/09/2014,0,18.2
07/09/2014,0,16.6
08/09/2014,0,16.1
09/09/2014,0,16.9
10/09/2014,0,15.8
11/09/2014,0,14.9
12/09/2014,0,17.1
13/09/2014,0,16.4
14/09/2014,0,16.4
15/09/2014,0,16.4
16/09/2014,0,17.7
17/09/2014,0,17.6
18/09/2014,0,19.5
19/09/2014,5.6,19.2
20/09/2014,0,17.2
21/09/2014,0.3,14.8
