Date,Daily_Items_Sold,Transactions,Total_Daily_Value,Avg_Item_Value_GBP,Avg_Trans_Value_GBP
2014-01-01,484,204,"24,160",49.92,118.43
2014-01-02,550,226,"27,441",49.89,121.42
2014-01-03,517,217,"26,273",50.82,121.07
2014-01-04,435,177,"22,017",50.61,124.39
2014-01-05,527,213,"25,834",49.02,121.28
2014-01-06,472,199,"22,531",47.73,113.22
2014-01-07,406,171,"20,125",49.57,117.69
2014-01-08,458,192,"21,959",47.95,114.37
2014-01-09,361,151,"17,713",49.07,117.31
2014-01-10,494,198,"23,394",47.36,118.15
2014-01-11,373,159,"18,645",49.99,117.26
2014-01-12,568,224,"29,176",51.37,130.25
2014-01-13,502,204,"24,512",48.83,120.16
2014-01-14,447,188,"20,606",46.10,109.60
2014-01-15,402,175,"19,489",48.48,111.37
2014-01-16,419,174,"20,019",47.78,115.05
2014-01-17,433,183,"19,826",45.79,108.34
2014-01-18,370,162,"18,180",49.14,112.22
2014-01-19,489,200,"24,746",50.61,123.73
2014-01-20,446,180,"20,078",45.02,111.55
2014-01-21,450,179,"19,678",43.73,109.93
2014-01-22,352,156,"16,326",46.38,104.65
2014-01-23,538,235,"22,590",41.99,96.13
2014-01-24,459,202,"20,466",44.59,101.31
2014-01-25,438,182,"20,557",46.93,112.95
2014-01-26,632,273,"29,810",47.17,109.20
2014-01-27,528,215,"24,102",45.65,112.10
2014-01-28,457,198,"20,428",44.70,103.17
2014-01-29,405,177,"19,328",47.72,109.20
2014-01-30,371,155,"16,446",44.33,106.10
2014-01-31,423,181,"18,384",43.46,101.57
2014-02-01,373,160,"16,558",44.39,103.49
2014-02-02,511,226,"24,088",47.14,106.58
2014-02-03,534,219,"24,782",46.41,113.16
2014-02-04,443,189,"21,061",47.54,111.43
2014-02-05,449,184,"22,171",49.38,120.49
2014-02-06,433,193,"19,704",45.51,102.09
2014-02-07,382,156,"17,738",46.43,113.70
2014-02-08,417,172,"20,008",47.98,116.32
2014-02-09,540,213,"26,988",49.98,126.71
2014-02-10,460,188,"21,623",47.01,115.02
2014-02-11,386,171,"18,353",47.55,107.33
2014-02-12,423,191,"20,186",47.72,105.69
2014-02-13,429,180,"19,757",46.05,109.76
2014-02-14,367,154,"17,166",46.77,111.47
2014-02-15,357,147,"16,227",45.46,110.39
2014-02-16,409,170,"20,368",49.80,119.81
2014-02-17,484,203,"21,980",45.41,108.28
2014-02-18,481,212,"22,802",47.40,107.55
2014-02-19,456,203,"21,037",46.13,103.63
2014-02-20,414,192,"17,068",41.23,88.90
2014-02-21,308,125,"14,181",46.04,113.45
2014-02-22,238,101,"12,181",51.18,120.60
2014-02-23,401,162,"18,125",45.20,111.88
2014-02-24,376,153,"16,721",44.47,109.29
2014-02-25,361,155,"15,823",43.83,102.09
2014-02-26,302,130,"12,848",42.54,98.83
2014-02-27,233,105,"10,569",45.36,100.66
2014-02-28,358,156,"16,714",46.69,107.14
2014-03-01,304,131,"13,513",44.45,103.15
2014-03-02,463,198,"19,869",42.91,100.35
2014-03-03,414,184,"19,907",48.08,108.19
2014-03-04,370,160,"18,777",50.75,117.35
2014-03-05,350,156,"16,080",45.94,103.08
2014-03-06,347,148,"15,930",45.91,107.64
2014-03-07,334,149,"15,303",45.82,102.70
2014-03-08,311,128,"15,168",48.77,118.50
2014-03-09,309,129,"15,488",50.12,120.06
2014-03-10,309,138,"15,395",49.82,111.56
2014-03-11,333,136,"15,087",45.30,110.93
2014-03-12,205,89,"9,365",45.68,105.22
2014-03-13,182,72,"8,975",49.31,124.65
2014-03-14,309,126,"15,822",51.20,125.57
2014-03-15,284,115,"13,020",45.85,113.22
2014-03-16,263,101,"11,550",43.92,114.36
2014-03-17,350,152,"16,738",47.82,110.12
2014-03-18,361,154,"15,965",44.22,103.67
2014-03-19,465,210,"21,427",46.08,102.03
2014-03-20,405,173,"17,293",42.70,99.96
2014-03-21,366,156,"16,603",45.36,106.43
2014-03-22,302,132,"14,831",49.11,112.36
2014-03-23,485,203,"23,473",48.40,115.63
2014-03-24,398,169,"17,938",45.07,106.14
2014-03-25,396,175,"17,744",44.81,101.39
2014-03-26,406,172,"18,978",46.74,110.34
2014-03-27,329,138,"15,131",45.99,109.65
2014-03-28,351,149,"15,497",44.15,104.01
2014-03-29,313,137,"15,045",48.07,109.82
2014-03-30,388,156,"18,649",48.06,119.54
2014-03-31,371,155,"17,014",45.86,109.77
2014-04-01,343,143,"15,336",44.71,107.25
2014-04-02,317,134,"14,936",47.12,111.46
2014-04-03,275,121,"12,443",45.25,102.83
2014-04-04,328,137,"14,899",45.42,108.75
2014-04-05,274,119,"14,105",51.48,118.53
2014-04-06,391,156,"19,200",49.11,123.08
2014-04-07,385,168,"17,733",46.06,105.55
2014-04-08,383,155,"17,692",46.19,114.14
2014-04-09,370,162,"17,321",46.81,106.92
2014-04-10,302,132,"14,066",46.57,106.56
2014-04-11,265,110,"12,662",47.78,115.11
2014-04-12,254,111,"11,183",44.03,100.75
2014-04-13,291,124,"14,244",48.95,114.87
2014-04-14,336,154,"16,743",49.83,108.72
2014-04-15,290,137,"13,481",46.49,98.40
2014-04-16,313,130,"14,958",47.79,115.06
2014-04-17,216,96,"9,194",42.57,95.78
2014-04-18,235,111,"10,390",44.21,93.60
2014-04-19,155,76,"7,069",45.60,93.01
2014-04-20,224,97,"9,963",44.48,102.72
2014-04-21,232,106,"11,814",50.92,111.45
2014-04-22,319,139,"14,606",45.79,105.08
2014-04-23,330,145,"16,229",49.18,111.93
2014-04-24,256,107,"11,978",46.79,111.95
2014-04-25,361,162,"16,616",46.03,102.57
2014-04-26,288,123,"13,446",46.69,109.32
2014-04-27,363,150,"16,523",45.52,110.15
2014-04-28,346,148,"15,998",46.24,108.09
2014-04-29,336,152,"16,608",49.43,109.26
2014-04-30,435,187,"19,501",44.83,104.29
2014-05-01,387,168,"18,056",46.66,107.48
2014-05-02,293,128,"14,977",51.11,117.00
2014-05-03,238,107,"11,234",47.20,104.99
2014-05-04,241,106,"9,738",40.41,91.87
2014-05-05,345,143,"15,478",44.87,108.24
2014-05-06,362,161,"16,946",46.81,105.26
2014-05-07,397,170,"17,187",43.29,101.10
2014-05-08,318,137,"14,154",44.51,103.31
2014-05-09,307,131,"12,849",41.86,98.09
2014-05-10,332,141,"14,084",42.42,99.88
2014-05-11,344,147,"14,583",42.39,99.20
2014-05-12,468,200,"22,048",47.11,110.24
2014-05-13,356,155,"15,745",44.23,101.58
2014-05-14,297,129,"13,676",46.05,106.01
2014-05-15,288,125,"13,079",45.41,104.63
2014-05-16,276,122,"12,786",46.33,104.81
2014-05-17,202,84,"9,439",46.73,112.37
2014-05-18,244,99,"10,272",42.10,103.76
2014-05-19,216,92,"8,862",41.03,96.32
2014-05-20,311,140,"13,437",43.21,95.98
2014-05-21,275,126,"12,128",44.10,96.25
2014-05-22,289,120,"12,638",43.73,105.32
2014-05-23,302,129,"12,631",41.83,97.92
2014-05-24,288,126,"11,571",40.18,91.83
2014-05-25,295,125,"14,247",48.29,113.98
